Company Name,Website,Industry,City,Country,Employees,Annual Revenue,Year Founded,Owner,Title,Email,Phone,LinkedIn,Source List
Kellerman & Okonkwo Co.,http://kellermanokonkwo.com,Precision Machining,Raleigh,United States,,7326172,,,Office Manager,susan.delgado@gmail.com,+14161333077,linkedin.com/company/kellermanokonkwo,chamber_export
Coyle & Ashworth,coyleashworth.com,Accounting Services,Tucson,United States,31,6.32 million,,,President,ccoyle@coyleashworth.com,+16088400708,linkedin.com/company/coyleashworth,directory_q3
Cardinal Commercial Inc,cardinalcommercial.com,Commercial Janitorial,Cleveland,United States,7-17,2.52 million,1996,Patricia Castellanos,Managing Director,,+17547068926,linkedin.com/company/cardinalcommercial,trade_assoc
Barrett Event,www.barrettevent.com,Event Planning,Nashville,United States,,,1984,Sharon Barrett,Managing Director,info@barrettevent.com,(728) 572-1482,,chamber_export
Barrett & Toussaint Inc.,http://barretttoussaint.com,Pest Control,Indianapolis,United States,80-90,"$15,631,670",,Ruth Halloran,Office Manager,ruth@barretttoussaint.com,(342) 833-9032,,directory_q3
Manchester Metal Systems Inc,https://www.manchestermetal.com,Metal Fabrication,Manchester,United Kingdom,120,15.33 million,,,,rkellerman@manchestermetal.com,+17788739228,linkedin.com/company/manchestermetal,directory_q3
Kellerman Dental Co.,www.kellermandental.com,Dental Practice,Phoenix,United States,45,,,Donna Kellerman,Founder,info@kellermandental.com,+12636989492,linkedin.com/company/kellermandental,chamber_export
Silverline Electrical Co.,www.silverlineelectrical.com,Electrical Contracting,Orlando,United States,60,11561340,2004,Thomas Barrett,,tbarrett@silverlineelectrical.com,+14986249296,,directory_q3
Ironwood Software Co.,www.ironwoodsoftware.com,Software Consulting,Tucson,United States,18,2604492,1991,,Founder,dashworth@ironwoodsoftware.com,(220) 271-6009,,chamber_export
Kansas City Auto & Sons Ltd,kansascity.com,Auto Repair,Kansas City,United States,8,"$1,539,976",,Hector Coyle,Founder,hector.coyle@gmail.com,(732) 743-5891,linkedin.com/company/kansascity,chamber_export
Whitfield Auto Inc,http://whitfieldauto.com,Auto Repair,Toronto,Canada,60,8398440,2017,Linda Whitfield,,linda@whitfieldauto.com,+14477405775,,directory_q3
Ngo Event LLC,www.ngoevent.com,Event Planning,Kansas City,United States,85,"15,569,450",2013,James Ngo,Owner,info@ngoevent.com,,linkedin.com/company/ngoevent,trade_assoc
Pruitt & Stanek,http://pruittstanek.com,HVAC,Phoenix,United States,18 employees,$3.4M,2004,Gloria Pruitt,Operations Manager,gloria.pruitt@gmail.com,(409) 419-8440,,chamber_export
Cardinal HVAC LLC,http://cardinalhvac.com,HVAC,Sacramento,United States,115-125,,2017,Miguel Nakamura,Operations Manager,mnakamura@cardinalhvac.com,+13972024156,,chamber_export
Silverline Commercial,https://www.silverlinecommercial.com,Commercial Janitorial,Phoenix,United States,,"$14,290,560",1984,Thomas Ferraro,Office Manager,,(221) 660-1099,linkedin.com/company/silverlinecommercial,chamber_export
Ironwood Software LLC,https://www.ironwoodsoftware.com,Software Consulting,Indianapolis,United States,13-23,"$4,181,382",2021,Gloria Ivers,Operations Manager,gloria@ironwoodsoftware.com,(941) 305-7451,linkedin.com/company/ironwoodsoftware,directory_q3
Kellerman & Muldoon LLC,https://www.kellermanmuldoon.com,Metal Fabrication,Austin,United States,21-31,4.69 million,2013,Patricia Ngo,General Manager,info@kellermanmuldoon.com,+15426910382,,directory_q3
Vasquez Waste Inc,https://www.vasquezwaste.com,Waste Management,Charlotte,United States,12 employees,"$2,645,604",2021,Donna Vasquez,Founder,donna.vasquez@gmail.com,+14231554617,linkedin.com/company/vasquezwaste,trade_assoc
Nakamura & Barrett Co.,,Waste Management,Phoenix,United States,,7886610,2021,Gloria Nakamura,,,(227) 667-2142,linkedin.com/company/nakamurabarrett,chamber_export
Sacramento Electrical Services Ltd,https://www.sacramentoelectrical.com,Electrical Contracting,Sacramento,United States,7-17,$2.0M,2004,,Founder,sharon@sacramentoelectrical.com,(634) 262-4256,linkedin.com/company/sacramentoelectrical,directory_q3
Ferraro & Bhatti Co.,www.ferrarobhatti.com,Accounting Services,Raleigh,United States,,"$2,321,616",2013,Anne Ferraro,Owner,aferraro@ferrarobhatti.com,(237) 402-5108,linkedin.com/company/ferrarobhatti,directory_q3
Vasquez & Stanek Ltd,https://www.vasquezstanek.com,Electrical Contracting,Columbus,United States,38,"$8,579,488",2001,Dennis Vasquez,Operations Manager,dennis@vasquezstanek.com,(360) 390-5777,,directory_q3
Granite HVAC Inc,http://granitehvac.com,HVAC,Indianapolis,United States,,"$916,264",,Sharon Ivers,Owner,sivers@granitehvac.com,(248) 362-6221,,trade_assoc
Toronto Landscaping Group Inc.,https://www.torontolandscaping.com,Landscaping,Toronto,Canada,4,0.80 million,,Raymond Delgado,Founder,,+18402788052,,chamber_export
Silverline Waste Co.,silverlinewaste.com,Waste Management,Charlotte,United States,85,14.84 million,1972,,VP Operations,info@silverlinewaste.com,+13534509537,linkedin.com/company/silverlinewaste,trade_assoc
Ngo & Delgado Inc,ngodelgado.com,Landscaping,Indianapolis,United States,45 employees,10.79 million,1991,Gloria Ngo,Managing Director,,(888) 219-3935,linkedin.com/company/ngodelgado,directory_q3
Whitfield & Toussaint Inc.,https://www.whitfieldtoussaint.com,HVAC,Columbus,United States,8,"1,853,672",2017,Hector Ferraro,,hferraro@whitfieldtoussaint.com,+17800402119,,chamber_export
Renner & Vasquez Ltd,,Roofing,Houston,United States,,"5,231,616",2001,Robert Ferraro,Owner,,,linkedin.com/company/rennervasquez,chamber_export
Kellerman Auto Ltd,http://kellermanauto.com,Auto Repair,Kansas City,United States,60,13992480,1972,Linda Kellerman,Owner,info@kellermanauto.com,+17898190252,,directory_q3
Cardinal Roofing Ltd,,Roofing,Nashville,United States,,1577576,2001,Hector Ngo,,,+13665328980,linkedin.com/company/cardinalroofing,chamber_export
Nakamura & Coyle Co.,http://nakamuracoyle.com,Auto Repair,Phoenix,United States,1-9,"461,908",1972,Patricia Nakamura,Managing Director,info@nakamuracoyle.com,+15045905448,linkedin.com/company/nakamuracoyle,chamber_export
Orlando Veterinary Contractors Ltd,https://www.orlandoveterinary.com,Veterinary Services,Orlando,United States,18,"$2,137,572",2013,,President,mdelgado@orlandoveterinary.com,(591) 750-6846,,chamber_export
